Year,Month,White,Black,Asian,Hispanic
2016,Feb,4.3,8.8,3.8,5.4
2016,Mar,4.3,9.0,4.0,5.6
2016,Apr,4.3,8.8,3.8,6.1
2016,May,4.1,8.2,4.1,5.6
2016,Jun,4.4,8.6,3.5,5.8
2016,Jul,4.3,8.4,3.8,5.4
2016,Aug,4.4,8.1,4.2,5.6
2016,Sep,4.4,8.3,3.9,6.4
2016,Oct,4.3,8.6,3.4,5.7
2016,Nov,4.2,8.1,3.0,5.7
2016,Dec,NA,NA,NA,NA
